Tabela de observabilidade - Troianos - IAG


Iluninação da lua: 53.3 %


--------------------------------------------------------------------------------------------------------------------------------------------------------


Objeto                           |  mag  | 18:00 | 19:00 | 20:00 | 21:00 | 22:00 | 23:00 | 00:00 | 01:00 | 02:00 | 03:00 | 04:00 | 05:00 | 06:00 |
4501 Eurypylos (1989 CJ3)          	| RA, DEC 12 35 31.00 -12 19 25.9	| EL, AZ: 53.8  80.1 	| Mag: 17.6 	| moon_dis: 94.6 
32532 Thereus (2001 PT13)          	| RA, DEC 12 31 22.90 -09 18 45.2	| EL, AZ: 53.6  74.8 	| Mag: 19.4 	| moon_dis: 96.9 
3793 Leonteus (1985 TE3)           	| RA, DEC 12 33 23.47 -07 43 37.1	| EL, AZ: 52.4  72.8 	| Mag: 15.7 	| moon_dis: 97.2 
1583 Antilochus (1950 SA)          	| RA, DEC 12 54 27.72 -20 28 15.2	| EL, AZ: 51.7  95.2 	| Mag: 15.7 	| moon_dis: 86.9 
620074 (2013 AT183)                	| RA, DEC 08 55 40.97 +12 17 52.0	| EL, AZ: 50.9  330.8	| Mag: 23.2 	| moon_dis: 154.0
527443 (2007 UM126)                	| RA, DEC 07 13 50.56 -17 42 20.4	| EL, AZ: 48.6  268.4	| Mag: 23.0 	| moon_dis: 136.6
1437 Diomedes (1937 PB)            	| RA, DEC 13 13 37.47 -33 41 58.9	| EL, AZ: 48.2  116.1	| Mag: 15.4 	| moon_dis: 77.5 
82075 (2000 YW134)                 	| RA, DEC 10 08 57.75 +19 29 34.9	| EL, AZ: 48.1  359.9	| Mag: 21.5 	| moon_dis: 140.8
26375 (1999 DE9)                   	| RA, DEC 13 02 55.69 -13 47 31.4	| EL, AZ: 48.0  85.9 	| Mag: 21.1 	| moon_dis: 88.0 
(2014 SS303)                       	| RA, DEC 09 07 44.48 +18 47 48.6	| EL, AZ: 46.1  338.8	| Mag: 26.1 	| moon_dis: 154.4
(2015 VV1)                         	| RA, DEC 09 00 56.35 +18 35 24.7	| EL, AZ: 45.7  336.5	| Mag: 25.0 	| moon_dis: 155.8
524366 (2001 XR254)                	| RA, DEC 08 45 32.28 +17 02 27.5	| EL, AZ: 45.5  330.8	| Mag: 22.3 	| moon_dis: 158.5
58534 Logos (1997 CQ29)            	| RA, DEC 12 54 39.27 -03 01 34.8	| EL, AZ: 45.5  70.3 	| Mag: 23.3 	| moon_dis: 94.6 
33128 (1998 BU48)                  	| RA, DEC 12 37 12.17 +08 44 42.8	| EL, AZ: 42.2  53.5 	| Mag: 22.9 	| moon_dis: 103.5
60558 Echeclus (2000 EC98)         	| RA, DEC 08 13 54.92 +16 33 07.3	| EL, AZ: 41.9  321.6	| Mag: 21.0 	| moon_dis: 164.6
472265 (2014 SR303)                	| RA, DEC 08 32 21.69 +21 53 24.2	| EL, AZ: 39.8  330.3	| Mag: 23.3 	| moon_dis: 163.2
3548 Eurybates (1973 SO)           	| RA, DEC 13 27 05.94 -05 09 31.3	| EL, AZ: 39.3  77.9 	| Mag: 16.9 	| moon_dis: 86.3 
471339 (2011 ON45)                 	| RA, DEC 08 25 45.70 +22 28 30.0	| EL, AZ: 38.5  329.0	| Mag: 22.3 	| moon_dis: 164.8
534251 (2014 SW223)                	| RA, DEC 09 09 34.00 +27 00 57.2	| EL, AZ: 38.5  343.0	| Mag: 23.7 	| moon_dis: 155.6
(2014 XZ40)                        	| RA, DEC 06 37 07.50 -11 09 30.5	| EL, AZ: 38.2  273.4	| Mag: 23.5 	| moon_dis: 141.7
(2014 YA50)                        	| RA, DEC 12 46 51.59 +12 24 05.2	| EL, AZ: 38.0  51.9 	| Mag: 20.7 	| moon_dis: 102.9
(2005 TV189)                       	| RA, DEC 06 53 42.87 -01 06 26.3	| EL, AZ: 37.9  287.2	| Mag: 23.1 	| moon_dis: 152.5
20000 Varuna (2000 WR106)          	| RA, DEC 08 56 04.42 +27 16 02.7	| EL, AZ: 37.3  339.5	| Mag: 20.4 	| moon_dis: 158.6
315530 (2008 AP129)                	| RA, DEC 10 40 14.71 +30 06 04.9	| EL, AZ: 37.0  8.4  	| Mag: 20.9 	| moon_dis: 136.0
55638 (2002 VE95)                  	| RA, DEC 07 05 11.83 +06 10 56.8	| EL, AZ: 36.6  296.9	| Mag: 20.8 	| moon_dis: 160.2
15094 Polymele (1999 WB2)          	| RA, DEC 13 34 08.64 -01 38 08.7	| EL, AZ: 36.2  74.8 	| Mag: 19.0 	| moon_dis: 86.3 
15440 Eioneus (1998 WX4)           	| RA, DEC 10 39 41.09 +31 24 20.5	| EL, AZ: 35.7  8.0  	| Mag: 17.2 	| moon_dis: 136.3
308193 (2005 CB79)                 	| RA, DEC 11 30 27.00 +28 24 35.9	| EL, AZ: 35.6  22.1 	| Mag: 20.5 	| moon_dis: 125.0
(2014 FC69)                        	| RA, DEC 14 14 11.00 -30 14 21.0	| EL, AZ: 35.2  112.1	| Mag: 24.1 	| moon_dis: 66.6 
--------------------------------------------------------------------------------------------------------------------------------------------------------


Local Time: 2026-04-09 22:00 -- UTC: 2026-04-10 01:00
90482 Orcus (2004 DW)              	| RA, DEC 10 37 36.93 -13 32 29.2	| EL, AZ: 78.4  318.1	| Mag: 19.0 	| moon_dis: 118.6
160140 (2001 DZ3)                  	| RA, DEC 11 32 21.90 -09 54 14.4	| EL, AZ: 76.4  24.7 	| Mag: 19.6 	| moon_dis: 109.9
(2016 FX58)                        	| RA, DEC 11 47 25.77 -12 00 11.0	| EL, AZ: 76.2  42.7 	| Mag: 23.4 	| moon_dis: 105.6
523671 (2013 FZ27)                 	| RA, DEC 11 05 49.63 -08 29 25.7	| EL, AZ: 76.1  356.3	| Mag: 21.0 	| moon_dis: 116.1
3063 Makhaon (1983 PV)             	| RA, DEC 12 05 11.38 -16 52 52.0	| EL, AZ: 75.8  69.7 	| Mag: 15.5 	| moon_dis: 99.4 
911 Agamemnon (A919 FB)            	| RA, DEC 11 25 23.02 -07 05 58.3	| EL, AZ: 74.2  14.7 	| Mag: 15.2 	| moon_dis: 112.8
21900 Orus (1999 VQ10)             	| RA, DEC 11 15 20.80 -06 14 37.4	| EL, AZ: 73.8  5.3  	| Mag: 17.2 	| moon_dis: 115.4
532037 Chiminigagua (2013 FY27)    	| RA, DEC 10 57 23.67 -06 13 34.4	| EL, AZ: 73.6  349.4	| Mag: 22.1 	| moon_dis: 119.1
555632 (2014 BZ57)                 	| RA, DEC 10 03 20.48 -15 16 53.0	| EL, AZ: 72.8  291.6	| Mag: 20.7 	| moon_dis: 123.6
624 Hektor (A907 CF)               	| RA, DEC 11 48 01.33 -07 47 01.2	| EL, AZ: 72.7  33.9 	| Mag: 14.4 	| moon_dis: 107.6
11351 Leucus (1997 TS25)           	| RA, DEC 12 24 46.38 -15 39 32.8	| EL, AZ: 71.0  72.6 	| Mag: 18.2 	| moon_dis: 95.9 
55565 Aya (2002 AW197)             	| RA, DEC 10 15 55.98 -07 43 19.5	| EL, AZ: 70.5  316.7	| Mag: 20.0 	| moon_dis: 126.5
523681 (2014 BV64)                 	| RA, DEC 10 26 43.09 -05 14 57.3	| EL, AZ: 70.0  327.4	| Mag: 21.5 	| moon_dis: 125.9
588 Achilles (A906 DN)             	| RA, DEC 12 36 18.78 -15 47 43.8	| EL, AZ: 68.5  76.0 	| Mag: 15.3 	| moon_dis: 93.4 
729736 (2011 OF45)                 	| RA, DEC 10 32 38.74 -02 01 00.1	| EL, AZ: 67.7  335.0	| Mag: 23.0 	| moon_dis: 126.6
4501 Eurypylos (1989 CJ3)          	| RA, DEC 12 35 29.85 -12 19 16.7	| EL, AZ: 67.2  67.5 	| Mag: 17.6 	| moon_dis: 95.2 
32532 Thereus (2001 PT13)          	| RA, DEC 12 31 22.27 -09 18 39.3	| EL, AZ: 66.4  59.6 	| Mag: 19.4 	| moon_dis: 97.5 
1583 Antilochus (1950 SA)          	| RA, DEC 12 54 26.53 -20 28 01.3	| EL, AZ: 65.5  90.5 	| Mag: 15.7 	| moon_dis: 87.5 
1143 Odysseus (1930 BH)            	| RA, DEC 11 09 51.46 +02 19 46.5	| EL, AZ: 65.3  0.3  	| Mag: 15.5 	| moon_dis: 120.9
3793 Leonteus (1985 TE3)           	| RA, DEC 12 33 22.37 -07 43 23.7	| EL, AZ: 65.1  57.3 	| Mag: 15.7 	| moon_dis: 97.8 
26375 (1999 DE9)                   	| RA, DEC 13 02 55.50 -13 47 30.2	| EL, AZ: 61.8  77.2 	| Mag: 21.1 	| moon_dis: 88.6 
1437 Diomedes (1937 PB)            	| RA, DEC 13 13 35.99 -33 41 54.9	| EL, AZ: 60.5  119.4	| Mag: 15.4 	| moon_dis: 78.0 
543354 (2014 AN55)                 	| RA, DEC 10 07 08.49 +03 46 38.7	| EL, AZ: 59.7  327.9	| Mag: 20.9 	| moon_dis: 135.1
659 Nestor (A908 FE)               	| RA, DEC 10 45 16.88 +08 22 16.2	| EL, AZ: 58.7  348.5	| Mag: 16.4 	| moon_dis: 129.1
58534 Logos (1997 CQ29)            	| RA, DEC 12 54 39.09 -03 01 33.7	| EL, AZ: 58.0  56.6 	| Mag: 23.3 	| moon_dis: 95.2 
79360 Sila-Nunam (1997 CS29)       	| RA, DEC 10 06 11.02 +10 35 09.7	| EL, AZ: 53.6  333.2	| Mag: 21.8 	| moon_dis: 138.8
3548 Eurybates (1973 SO)           	| RA, DEC 13 27 04.70 -05 09 25.7	| EL, AZ: 52.6  67.8 	| Mag: 16.9 	| moon_dis: 87.0 
33128 (1998 BU48)                  	| RA, DEC 12 37 11.96 +08 44 44.1	| EL, AZ: 52.2  37.0 	| Mag: 22.9 	| moon_dis: 104.2
15094 Polymele (1999 WB2)          	| RA, DEC 13 34 07.39 -01 38 03.8	| EL, AZ: 49.2  64.6 	| Mag: 19.0 	| moon_dis: 86.9 
(2014 FC69)                        	| RA, DEC 14 14 10.89 -30 14 20.6	| EL, AZ: 48.2  110.9	| Mag: 24.1 	| moon_dis: 67.1 
120132 (2003 FY128)                	| RA, DEC 14 13 07.40 -24 08 54.9	| EL, AZ: 48.0  101.8	| Mag: 21.0 	| moon_dis: 69.3 
(2014 YA50)                        	| RA, DEC 12 46 51.39 +12 24 06.0	| EL, AZ: 47.8  36.9 	| Mag: 20.7 	| moon_dis: 103.5
(2013 RN30)                        	| RA, DEC 08 48 10.54 +05 02 05.3	| EL, AZ: 45.9  304.2	| Mag: 25.0 	| moon_dis: 151.1
654190 (2014 YY49)                 	| RA, DEC 08 35 29.90 +00 55 56.0	| EL, AZ: 45.8  296.7	| Mag: 24.4 	| moon_dis: 149.8
82075 (2000 YW134)                 	| RA, DEC 10 08 57.64 +19 29 35.3	| EL, AZ: 45.6  339.5	| Mag: 21.5 	| moon_dis: 141.5
208996 Achlys (2003 AZ84)          	| RA, DEC 08 43 01.85 +05 44 43.5	| EL, AZ: 44.4  303.8	| Mag: 20.3 	| moon_dis: 152.5
(2010 EL139)                       	| RA, DEC 14 33 34.34 -39 20 05.1	| EL, AZ: 43.7  123.7	| Mag: 21.3 	| moon_dis: 61.1 
620074 (2013 AT183)                	| RA, DEC 08 55 40.92 +12 17 52.2	| EL, AZ: 42.3  313.3	| Mag: 23.2 	| moon_dis: 154.5
525462 (2005 EO304)                	| RA, DEC 14 27 10.84 -11 29 49.3	| EL, AZ: 41.7  85.5 	| Mag: 22.5 	| moon_dis: 70.8 
447178 (2005 RO43)                 	| RA, DEC 07 43 54.38 -14 00 47.3	| EL, AZ: 40.7  270.5	| Mag: 19.2 	| moon_dis: 140.1
4063 Euforbo (1989 CG2)            	| RA, DEC 13 21 21.16 +16 01 02.0	| EL, AZ: 39.8  43.0 	| Mag: 16.0 	| moon_dis: 97.3 
(2014 SS303)                       	| RA, DEC 09 07 44.33 +18 47 49.0	| EL, AZ: 39.2  321.8	| Mag: 26.1 	| moon_dis: 155.0
308193 (2005 CB79)                 	| RA, DEC 11 30 26.80 +28 24 36.3	| EL, AZ: 38.9  6.0  	| Mag: 20.5 	| moon_dis: 125.6
(2014 TK34)                        	| RA, DEC 14 17 17.90 +00 51 57.2	| EL, AZ: 38.7  69.5 	| Mag: 26.9 	| moon_dis: 78.3 
(2015 VV1)                         	| RA, DEC 09 00 56.24 +18 35 25.4	| EL, AZ: 38.4  320.0	| Mag: 25.0 	| moon_dis: 156.4
319 Leona (A891 TA)                	| RA, DEC 14 36 38.54 -08 03 13.7	| EL, AZ: 38.3  82.4 	| Mag: 16.1 	| moon_dis: 70.1 
690420 (2014 FC72)                 	| RA, DEC 14 13 55.21 +04 35 39.4	| EL, AZ: 37.5  64.9 	| Mag: 21.9 	| moon_dis: 80.7 
524366 (2001 XR254)                	| RA, DEC 08 45 32.24 +17 02 27.8	| EL, AZ: 37.1  315.2	| Mag: 22.3 	| moon_dis: 159.1
315530 (2008 AP129)                	| RA, DEC 10 40 14.54 +30 06 04.6	| EL, AZ: 37.0  352.1	| Mag: 20.9 	| moon_dis: 136.6
(2010 FX86)                        	| RA, DEC 15 11 08.64 -43 33 54.0	| EL, AZ: 36.4  128.5	| Mag: 21.3 	| moon_dis: 53.6 
15440 Eioneus (1998 WX4)           	| RA, DEC 10 39 40.41 +31 24 21.2	| EL, AZ: 35.7  352.2	| Mag: 17.2 	| moon_dis: 136.9
471149 (2010 FB49)                 	| RA, DEC 14 35 22.03 -00 45 48.1	| EL, AZ: 35.5  74.0 	| Mag: 21.5 	| moon_dis: 73.5 
136472 Makemake (2005 FY9)         	| RA, DEC 13 26 10.93 +20 59 22.5	| EL, AZ: 35.3  40.0 	| Mag: 17.0 	| moon_dis: 98.3 
--------------------------------------------------------------------------------------------------------------------------------------------------------


Local Time: 2026-04-09 23:00 -- UTC: 2026-04-10 02:00
3063 Makhaon (1983 PV)             	| RA, DEC 12 05 10.20 -16 52 43.1	| EL, AZ: 84.4  349.1	| Mag: 15.5 	| moon_dis: 100.0
11351 Leucus (1997 TS25)           	| RA, DEC 12 24 45.26 -15 39 23.2	| EL, AZ: 82.4  28.7 	| Mag: 18.2 	| moon_dis: 96.5 
588 Achilles (A906 DN)             	| RA, DEC 12 36 17.52 -15 47 36.8	| EL, AZ: 80.9  44.9 	| Mag: 15.3 	| moon_dis: 94.0 
1583 Antilochus (1950 SA)          	| RA, DEC 12 54 25.34 -20 27 47.4	| EL, AZ: 79.4  81.6 	| Mag: 15.7 	| moon_dis: 88.0 
(2016 FX58)                        	| RA, DEC 11 47 25.64 -12 00 10.0	| EL, AZ: 78.4  332.1	| Mag: 23.4 	| moon_dis: 106.2
4501 Eurypylos (1989 CJ3)          	| RA, DEC 12 35 28.69 -12 19 07.5	| EL, AZ: 78.2  32.6 	| Mag: 17.6 	| moon_dis: 95.8 
32532 Thereus (2001 PT13)          	| RA, DEC 12 31 21.65 -09 18 33.4	| EL, AZ: 75.9  22.6 	| Mag: 19.4 	| moon_dis: 98.1 
26375 (1999 DE9)                   	| RA, DEC 13 02 55.31 -13 47 29.1	| EL, AZ: 74.7  58.1 	| Mag: 21.1 	| moon_dis: 89.2 
160140 (2001 DZ3)                  	| RA, DEC 11 32 20.72 -09 54 09.9	| EL, AZ: 74.7  323.0	| Mag: 19.6 	| moon_dis: 110.4
624 Hektor (A907 CF)               	| RA, DEC 11 48 00.11 -07 46 56.6	| EL, AZ: 74.5  339.6	| Mag: 14.4 	| moon_dis: 108.2
3793 Leonteus (1985 TE3)           	| RA, DEC 12 33 21.26 -07 43 10.4	| EL, AZ: 74.3  22.2 	| Mag: 15.7 	| moon_dis: 98.4 
1437 Diomedes (1937 PB)            	| RA, DEC 13 13 34.51 -33 41 50.8	| EL, AZ: 71.9  132.3	| Mag: 15.4 	| moon_dis: 78.5 
911 Agamemnon (A919 FB)            	| RA, DEC 11 25 21.92 -07 05 53.9	| EL, AZ: 71.4  323.4	| Mag: 15.2 	| moon_dis: 113.4
523671 (2013 FZ27)                 	| RA, DEC 11 05 49.49 -08 29 24.5	| EL, AZ: 69.3  309.7	| Mag: 21.0 	| moon_dis: 116.7
21900 Orus (1999 VQ10)             	| RA, DEC 11 15 19.91 -06 14 28.5	| EL, AZ: 69.2  318.9	| Mag: 17.2 	| moon_dis: 115.9
58534 Logos (1997 CQ29)            	| RA, DEC 12 54 38.91 -03 01 32.6	| EL, AZ: 67.8  31.0 	| Mag: 23.3 	| moon_dis: 95.8 
90482 Orcus (2004 DW)              	| RA, DEC 10 37 36.80 -13 32 27.8	| EL, AZ: 66.4  288.1	| Mag: 19.0 	| moon_dis: 119.1
532037 Chiminigagua (2013 FY27)    	| RA, DEC 10 57 23.58 -06 13 33.6	| EL, AZ: 66.2  310.1	| Mag: 22.1 	| moon_dis: 119.7
3548 Eurybates (1973 SO)           	| RA, DEC 13 27 03.46 -05 09 20.1	| EL, AZ: 64.6  50.2 	| Mag: 16.9 	| moon_dis: 87.6 
120132 (2003 FY128)                	| RA, DEC 14 13 07.20 -24 08 54.2	| EL, AZ: 61.6  99.7 	| Mag: 21.0 	| moon_dis: 69.9 
1143 Odysseus (1930 BH)            	| RA, DEC 11 09 50.62 +02 19 53.3	| EL, AZ: 61.3  327.6	| Mag: 15.5 	| moon_dis: 121.5
(2014 FC69)                        	| RA, DEC 14 14 10.78 -30 14 20.2	| EL, AZ: 61.1  112.4	| Mag: 24.1 	| moon_dis: 67.7 
15094 Polymele (1999 WB2)          	| RA, DEC 13 34 06.13 -01 37 58.9	| EL, AZ: 60.8  47.6 	| Mag: 19.0 	| moon_dis: 87.5 
523681 (2014 BV64)                 	| RA, DEC 10 26 42.97 -05 14 56.2	| EL, AZ: 59.8  300.7	| Mag: 21.5 	| moon_dis: 126.4
555632 (2014 BZ57)                 	| RA, DEC 10 03 20.35 -15 16 51.2	| EL, AZ: 59.4  277.8	| Mag: 20.7 	| moon_dis: 124.0
55565 Aya (2002 AW197)             	| RA, DEC 10 15 55.86 -07 43 18.3	| EL, AZ: 59.0  293.8	| Mag: 20.0 	| moon_dis: 127.0
729736 (2011 OF45)                 	| RA, DEC 10 32 38.26 -02 00 56.8	| EL, AZ: 58.9  307.5	| Mag: 23.0 	| moon_dis: 127.1
33128 (1998 BU48)                  	| RA, DEC 12 37 11.75 +08 44 45.3	| EL, AZ: 58.1  13.0 	| Mag: 22.9 	| moon_dis: 104.8
525462 (2005 EO304)                	| RA, DEC 14 27 10.66 -11 29 48.4	| EL, AZ: 55.4  77.4 	| Mag: 22.5 	| moon_dis: 71.4 
(2010 EL139)                       	| RA, DEC 14 33 34.08 -39 20 04.9	| EL, AZ: 55.1  127.4	| Mag: 21.3 	| moon_dis: 61.6 
(2014 YA50)                        	| RA, DEC 12 46 51.19 +12 24 06.8	| EL, AZ: 54.0  15.6 	| Mag: 20.7 	| moon_dis: 104.1
659 Nestor (A908 FE)               	| RA, DEC 10 45 16.14 +08 22 19.6	| EL, AZ: 53.0  323.8	| Mag: 16.4 	| moon_dis: 129.7
319 Leona (A891 TA)                	| RA, DEC 14 36 37.13 -08 03 01.5	| EL, AZ: 51.9  73.8 	| Mag: 16.1 	| moon_dis: 70.7 
(2014 TK34)                        	| RA, DEC 14 17 17.44 +00 52 00.2	| EL, AZ: 51.2  57.5 	| Mag: 26.9 	| moon_dis: 78.9 
543354 (2014 AN55)                 	| RA, DEC 10 07 08.39 +03 46 39.6	| EL, AZ: 50.3  307.4	| Mag: 20.9 	| moon_dis: 135.7
690420 (2014 FC72)                 	| RA, DEC 14 13 55.07 +04 35 40.6	| EL, AZ: 49.4  52.2 	| Mag: 21.9 	| moon_dis: 81.3 
471149 (2010 FB49)                 	| RA, DEC 14 35 21.75 -00 45 45.9	| EL, AZ: 48.5  63.7 	| Mag: 21.5 	| moon_dis: 74.1 
4063 Euforbo (1989 CG2)            	| RA, DEC 13 21 19.95 +16 01 09.0	| EL, AZ: 47.8  26.1 	| Mag: 16.0 	| moon_dis: 97.9 
(2010 FX86)                        	| RA, DEC 15 11 08.44 -43 33 54.1	| EL, AZ: 47.1  130.7	| Mag: 21.3 	| moon_dis: 54.1 
495613 (2015 FG345)                	| RA, DEC 14 51 00.98 -02 49 00.5	| EL, AZ: 46.3  69.3 	| Mag: 21.4 	| moon_dis: 69.7 
79360 Sila-Nunam (1997 CS29)       	| RA, DEC 10 06 10.91 +10 35 10.3	| EL, AZ: 45.3  314.3	| Mag: 21.8 	| moon_dis: 139.3
471143 Dziewanna (2010 EK139)      	| RA, DEC 15 18 54.92 -48 26 56.0	| EL, AZ: 44.5  136.9	| Mag: 19.5 	| moon_dis: 52.7 
661238 (2004 DA62)                 	| RA, DEC 15 23 01.23 -48 39 16.6	| EL, AZ: 43.8  136.9	| Mag: 19.7 	| moon_dis: 52.0 
136472 Makemake (2005 FY9)         	| RA, DEC 13 26 10.76 +20 59 23.3	| EL, AZ: 42.8  24.7 	| Mag: 17.0 	| moon_dis: 98.9 
763666 (2012 HX87)                 	| RA, DEC 15 40 45.35 -27 01 40.1	| EL, AZ: 42.2  106.9	| Mag: 22.6 	| moon_dis: 50.1 
559182 (2015 BZ518)                	| RA, DEC 15 47 36.73 -23 04 29.8	| EL, AZ: 40.0  102.0	| Mag: 21.6 	| moon_dis: 49.5 
545293 (2011 FX62)                 	| RA, DEC 15 54 22.58 -34 19 26.9	| EL, AZ: 39.8  116.8	| Mag: 22.0 	| moon_dis: 46.2 
90568 Goibniu (2004 GV9)           	| RA, DEC 15 51 50.39 -24 33 47.2	| EL, AZ: 39.3  104.1	| Mag: 20.1 	| moon_dis: 48.2 
53311 Deucalion (1999 HU11)        	| RA, DEC 15 50 13.08 -20 08 48.6	| EL, AZ: 38.8  98.4 	| Mag: 23.1 	| moon_dis: 49.7 
82075 (2000 YW134)                 	| RA, DEC 10 08 57.54 +19 29 35.6	| EL, AZ: 38.8  322.6	| Mag: 21.5 	| moon_dis: 142.1
(2014 GE54)                        	| RA, DEC 15 20 14.81 -00 25 24.2	| EL, AZ: 38.7  71.3 	| Mag: 22.8 	| moon_dis: 64.3 
308193 (2005 CB79)                 	| RA, DEC 11 30 26.61 +28 24 36.7	| EL, AZ: 38.3  349.0	| Mag: 20.5 	| moon_dis: 126.1
(2016 VF1)                         	| RA, DEC 15 21 16.06 +01 25 11.2	| EL, AZ: 37.6  69.5 	| Mag: 23.3 	| moon_dis: 65.0 
136108 Haumea (2003 EL61)          	| RA, DEC 14 42 37.47 +14 31 10.3	| EL, AZ: 37.4  49.0 	| Mag: 17.2 	| moon_dis: 79.8 
523705 (2014 HE200)                	| RA, DEC 15 57 53.97 -18 57 40.0	| EL, AZ: 36.8  97.5 	| Mag: 21.9 	| moon_dis: 48.3 
556004 (2014 HA200)                	| RA, DEC 15 49 23.15 -10 10 49.3	| EL, AZ: 36.2  86.3 	| Mag: 21.3 	| moon_dis: 53.4 
523692 (2014 EZ51)                 	| RA, DEC 16 13 03.74 -27 43 40.3	| EL, AZ: 35.1  109.0	| Mag: 21.3 	| moon_dis: 42.9 
(2009 JE19)                        	| RA, DEC 15 25 22.21 +04 45 04.2	| EL, AZ: 35.0  66.6 	| Mag: 21.4 	| moon_dis: 65.7 
--------------------------------------------------------------------------------------------------------------------------------------------------------


Local Time: 2026-04-10 00:00 -- UTC: 2026-04-10 03:00
1583 Antilochus (1950 SA)          	| RA, DEC 12 54 24.16 -20 27 33.5	| EL, AZ: 86.0  297.8	| Mag: 15.7 	| moon_dis: 88.5 
26375 (1999 DE9)                   	| RA, DEC 13 02 55.12 -13 47 28.0	| EL, AZ: 81.3  349.1	| Mag: 21.1 	| moon_dis: 89.7 
588 Achilles (A906 DN)             	| RA, DEC 12 36 16.26 -15 47 29.7	| EL, AZ: 79.7  308.4	| Mag: 15.3 	| moon_dis: 94.5 
1437 Diomedes (1937 PB)            	| RA, DEC 13 13 33.03 -33 41 46.8	| EL, AZ: 78.7  175.9	| Mag: 15.4 	| moon_dis: 79.0 
11351 Leucus (1997 TS25)           	| RA, DEC 12 24 44.14 -15 39 13.7	| EL, AZ: 77.4  300.4	| Mag: 18.2 	| moon_dis: 97.0 
4501 Eurypylos (1989 CJ3)          	| RA, DEC 12 35 27.54 -12 18 58.3	| EL, AZ: 77.0  319.6	| Mag: 17.6 	| moon_dis: 96.3 
120132 (2003 FY128)                	| RA, DEC 14 13 07.00 -24 08 53.5	| EL, AZ: 75.3  99.9 	| Mag: 21.0 	| moon_dis: 70.4 
32532 Thereus (2001 PT13)          	| RA, DEC 12 31 21.02 -09 18 27.5	| EL, AZ: 74.0  323.3	| Mag: 19.4 	| moon_dis: 98.6 
3063 Makhaon (1983 PV)             	| RA, DEC 12 05 09.02 -16 52 34.2	| EL, AZ: 73.8  287.0	| Mag: 15.5 	| moon_dis: 100.5
(2014 FC69)                        	| RA, DEC 14 14 10.67 -30 14 19.8	| EL, AZ: 73.6  121.9	| Mag: 24.1 	| moon_dis: 68.2 
3793 Leonteus (1985 TE3)           	| RA, DEC 12 33 20.16 -07 42 57.0	| EL, AZ: 72.9  327.8	| Mag: 15.7 	| moon_dis: 98.9 
3548 Eurybates (1973 SO)           	| RA, DEC 13 27 02.21 -05 09 14.6	| EL, AZ: 72.3  14.3 	| Mag: 16.9 	| moon_dis: 88.1 
58534 Logos (1997 CQ29)            	| RA, DEC 12 54 38.73 -03 01 31.5	| EL, AZ: 70.3  348.8	| Mag: 23.3 	| moon_dis: 96.3 
525462 (2005 EO304)                	| RA, DEC 14 27 10.48 -11 29 47.5	| EL, AZ: 68.5  62.6 	| Mag: 22.5 	| moon_dis: 72.0 
15094 Polymele (1999 WB2)          	| RA, DEC 13 34 04.88 -01 37 54.0	| EL, AZ: 68.4  16.7 	| Mag: 19.0 	| moon_dis: 88.0 
(2016 FX58)                        	| RA, DEC 11 47 25.50 -12 00 09.1	| EL, AZ: 67.8  294.5	| Mag: 23.4 	| moon_dis: 106.7
624 Hektor (A907 CF)               	| RA, DEC 11 47 58.90 -07 46 52.1	| EL, AZ: 65.5  303.4	| Mag: 14.4 	| moon_dis: 108.7
(2010 EL139)                       	| RA, DEC 14 33 33.83 -39 20 04.7	| EL, AZ: 65.4  138.3	| Mag: 21.3 	| moon_dis: 62.0 
319 Leona (A891 TA)                	| RA, DEC 14 36 35.72 -08 02 49.4	| EL, AZ: 64.7  58.9 	| Mag: 16.1 	| moon_dis: 71.2 
160140 (2001 DZ3)                  	| RA, DEC 11 32 19.54 -09 54 05.4	| EL, AZ: 63.6  294.2	| Mag: 19.6 	| moon_dis: 110.9
(2014 TK34)                        	| RA, DEC 14 17 16.99 +00 52 03.1	| EL, AZ: 61.5  37.5 	| Mag: 26.9 	| moon_dis: 79.4 
911 Agamemnon (A919 FB)            	| RA, DEC 11 25 20.81 -07 05 49.6	| EL, AZ: 60.6  297.3	| Mag: 15.2 	| moon_dis: 113.9
471149 (2010 FB49)                 	| RA, DEC 14 35 21.47 -00 45 43.6	| EL, AZ: 60.0  46.8 	| Mag: 21.5 	| moon_dis: 74.6 
690420 (2014 FC72)                 	| RA, DEC 14 13 54.92 +04 35 41.8	| EL, AZ: 58.8  32.1 	| Mag: 21.9 	| moon_dis: 81.8 
495613 (2015 FG345)                	| RA, DEC 14 51 00.79 -02 48 59.6	| EL, AZ: 58.6  55.0 	| Mag: 21.4 	| moon_dis: 70.2 
21900 Orus (1999 VQ10)             	| RA, DEC 11 15 19.01 -06 14 19.6	| EL, AZ: 58.0  296.0	| Mag: 17.2 	| moon_dis: 116.4
33128 (1998 BU48)                  	| RA, DEC 12 37 11.54 +08 44 46.5	| EL, AZ: 57.9  344.7	| Mag: 22.9 	| moon_dis: 105.3
(2010 FX86)                        	| RA, DEC 15 11 08.23 -43 33 54.3	| EL, AZ: 57.2  137.4	| Mag: 21.3 	| moon_dis: 54.5 
